Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,Item10
User1,4.0,1.3,3.6,3.5,1.3,4.3,0.6,2.8,4.3,3.3
User2,2.5,4.5,3.2,2.5,2.1,4.1,1.7,4.3,4.8,2.3
User3,2.8,4.2,3.0,1.7,1.8,?,4.8,4.4,4.4,0.2
User4,0.7,0.7,1.5,3.1,5.0,3.4,3.1,3.6,1.0,2.7
User5,1.9,4.6,4.5,2.7,1.0,2.3,1.1,4.4,0.9,4.9
User6,3.5,4.0,3.1,2.1,4.7,4.9,2.7,2.0,2.2,3.6
User7,3.2,0.9,0.8,0.8,1.9,3.2,1.5,1.7,2.5,2.2
User8,0.9,?,3.6,4.3,4.0,4.5,1.4,1.2,3.6,2.1
User9,4.2,3.2,4.9,5.0,3.7,4.3,2.4,3.9,2.9,0.1
User10,4.8,1.3,0.2,1.5,2.8,1.3,3.5,2.5,2.0,3.8
User11,4.3,2.5,0.3,1.0,1.8,1.2,1.3,4.5,1.2,4.7
User12,4.5,3.7,4.4,1.7,2.6,0.3,0.2,0.5,2.7,1.1
User13,1.7,2.2,0.5,4.4,0.7,2.8,0.4,1.9,3.6,0.1
User14,?,4.7,4.5,2.1,2.1,4.1,3.1,2.1,2.2,2.0
User15,3.7,3.8,1.5,2.1,3.2,1.4,0.4,0.1,4.5,1.7
User16,4.4,0.9,2.7,4.3,2.7,4.6,1.1,1.2,0.3,4.2
User17,3.5,3.8,4.7,4.1,0.7,4.9,1.3,4.4,2.7,2.2
User18,2.5,0.9,3.7,0.5,?,2.5,1.4,1.2,2.4,3.6
User19,4.7,4.2,4.2,4.5,3.1,0.4,4.8,2.8,4.5,4.3
User20,1.1,0.8,0.8,1.2,3.3,0.1,4.6,1.9,3.9,0.4
User21,1.7,1.7,3.5,3.9,4.8,0.9,1.9,5.0,1.1,4.3
User22,0.1,4.9,3.1,4.6,2.3,2.8,3.0,2.1,3.8,3.6
User23,2.6,4.5,0.4,0.4,1.3,0.1,4.2,3.4,0.1,4.8
User24,?,5.0,1.2,0.4,2.4,4.7,4.6,4.0,3.5,2.8
User25,2.1,3.1,3.3,1.8,0.1,0.8,2.2,3.9,1.2,0.2
User26,3.7,4.2,0.3,1.4,2.8,3.6,2.8,3.4,1.0,4.1
User27,2.6,0.5,3.7,2.3,3.6,3.0,3.5,3.3,3.6,1.4
User28,2.0,4.4,2.5,2.2,4.5,3.1,5.0,2.2,2.3,3.3
User29,2.9,3.2,3.6,1.9,?,2.1,4.4,2.3,3.3,1.5
User30,2.7,1.4,1.0,?,2.5,1.0,0.7,4.3,3.6,0.3
