Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,Item10,
User1,4,3,1,2,3.2,4.5,3.7,?,5,2.4
User2,4.6,1.5,3.7,?,4.1,0.1,4.2,3.1,1.3,4.3
User3,5,2,1,4,3.5,1,2,3.9,3,5
User4,2.6,4.9,4.2,1.8,0.4,1.2,?,?,5,0.3
User5,1,3.5,3,2.1,4,2,1,1.5,3.1,2.7
User6,4.1,5,4.9,1.6,3.5,3.6,?,1.9,2,1.8
User7,5,2,5,4,1,3,2,0.3,5,1
User8,3.1,4.5,2.3,?,4.3,4.3,4.5,1.9,2,2.1
User9,4.2,3.7,1.1,3,1.9,2.7,4.1,0.5,4.9,?
User10,5,?,1,3,2,3,2,5,4,3
User11,4,2,1,2.5,4,5,1.5,4.2,5,4.5
User12,5,1,3.1,4.9,1.6,3.2,0.1,1.5,3,4.1
User13,3.3,1,5,2.2,4.4,3.3,1.1,1.4,2,5
User14,2,4,2,3,3,3,1.1,4,?,4
User15,2,2.8,4,1,3,3,2.3,3,1,3
User16,1.1,2,1.4,4.9,2.7,?,2.2,1,1.5,3
User17,4.8,1.5,2.5,1.8,?,1.6,3.7,3.5,1,1
User18,2.2,?,2.4,1.1,1.3,3.2,3.81,4.0,4.1,4.2
User19,2.1,1.4,3.9,2.9,?,1.4,2.5,2,4,2.1
User20,2.1,2,3.9,2.4,3.5,3,?,1.8,2.5,2.1
User21,5,1.8,?,2.3,3.6,3.7,2,5,4.4,3.3
User22,0.4,1.5,1.4,4,2.4,?,0.5,4.1,3,4
User23,2,3,1.6,?,3,4,4.1,2,3.4,2
User24,2,2,4,2,2,3,0.3,2,3,2
User25,3.5,?,1,4.5,2.3,1.4,3.4,3.3,1.4,3.9
User26,3,5,1.1,2.9,2.6,2.7,3.8,?,1,1.9
User27,4,5,?,2,1,3,3,4,2,3
User28,4.1,1.2,3,1.1,2.3,?,1.1,4.8,0.1,5
User29,5,0.5,2.5,3.5,0.3,1,2.7,1.5,0.4,?
User30,1.1,4,3,1.1,2,1.9,3,4,?,1.3
