Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,Item10,
User1,4,3,5,1,5,2,2,5,2,4
User2,1,2,2,4,3,4,3,5,?,1
User3,3,1,3,2,3,?,4,1,4,5
User4,3,5,3,2,1,5,4,2,4,1
User5,5,3,2,2,2,1,?,3,1,1
User6,2,4,4,4,5,5,4,2,4,3
User7,2,3,5,1,1,2,2,2,3,4
User8,5,3,4,1,3,2,1,3,?,4
User9,4,?,4,5,2,3,3,2,1,3
User10,4,3,1,4,4,1,2,5,5,3
User11,3,4,5,4,4,2,?,1,4,3
User12,1,2,4,3,3,5,4,3,2,1
User13,?,5,4,2,3,2,5,5,1,4
User14,5,?,2,3,3,1,2,2,4,2
User15,3,5,2,4,?,3,3,3,3,5
User16,1,2,5,1,1,1,1,5,2,1
User17,4,5,2,1,1,4,3,2,3,4
User18,1,5,?,1,1,5,1,3,4,2
User19,2,5,4,3,4,4,2,3,5,2
User20,2,3,4,5,5,3,3,1,5,3
User21,2,5,5,5,4,2,3,4,2,5
User22,3,4,2,2,4,5,1,4,2,?
User23,4,?,5,4,1,4,4,1,2,5
User24,4,4,5,3,2,4,1,3,5,4
User25,4,3,3,1,1,2,5,4,1,2
User26,5,2,1,2,4,5,?,1,1,5
User27,5,3,4,4,5,5,3,3,4,2
User28,2,3,3,5,2,2,3,2,4,2
User29,?,1,3,2,3,3,3,2,1,4
User30,1,5,3,1,5,5,4,1,1,5
