Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,Item10
User1,5.0,4.3,4.4,4.5,5.0,3.4,4.3,3.4,4.3,5.0
User2,4.4,4.0,5.0,3.5,4.3,3.4,3.1,2.5,5.0,4.1
User3,5.0,4.1,4.2,3.7,3.5,4.5,3.2,4.3,3.4,5.0
User4,3.8,5.0,2.4,4.5,4.2,3.2,3.4,4.5,4.5,3.4
User5,3.5,3.2,2.7,3.9,3.0,4.7,2.7,2.7,4.2,?
User6,4.2,4.5,5.0,5.0,5.0,3.3,1.3,1.8,3.4,2.3
User7,3.4,4.5,3.4,2.3,4.5,4.5,?,2.3,5.0,1.0
User8,5.0,4.0,3.2,3.7,3.9,2.7,4.3,4.5,2.1,4.2
User9,3.7,4.7,4.9,2.9,4.8,2.2,3.5,1.2,3.2,3.1
User10,4.3,5.0,5.0,?,5.0,3.4,2.4,3.6,4.5,2.4
User11,3.4,5.0,4.6,4.8,3.4,5.0,4.5,3.4,2.5,5.0
User12,4.2,3.2,3.9,5.0,2.9,2.1,2.1,2.5,1.5,5.0
User13,2.5,4.3,5.0,3.2,4.0,3.4,1.8,3.1,3.2,4.2
User14,5.0,5.0,?,4.1,5.0,?,4.5,?,4.7,3.5
User15,?,5.0,3.2,3.9,3.2,2.9,3.9,4.8,5.0,4.1
User16,3.7,4.3,4.5,2.1,4.4,4.3,?,2.8,?,5.0
User17,2.1,4.3,5.0,4.2,2.3,2.1,1.8,?,3.2,2.4
User18,4.7,3.2,4.6,5.0,3.2,?,3.4,3.4,2.1,5.0
User19,4.3,4.5,5.0,?,4.3,4.5,2.5,?,3.9,4.1
User20,4.5,5.0,3.9,2.2,?,3.7,?,1.9,?,3.2
User21,5.0,?,?,1.9,3.5,2.0,4.5,4.8,4.3,?
User22,5.0,3.2,3.6,3.9,?,?,2.1,?,2.1,4.3
User23,3.4,4.0,5.0,4.6,2.5,1.0,3.4,3.1,3.8,5.0
User24,4.2,3.0,3.1,2.3,4.6,3.9,?,1.2,?,3.2
User25,2.3,4.5,4.8,?,?,4.9,2.8,?,1.0,?
User26,?,5.0,5.0,3.3,4.3,3.4,?,3.3,3.2,3.2
User27,4.1,4.3,4.7,?,?,2.3,3.4,2.4,2.4,4.3
User28,?,?,5.0,3.9,3.0,4.5,4.8,1.1,4.2,5.0
User29,3.5,3.0,?,2.1,5.0,?,2.4,4.5,3.1,2.1
User30,5.0,4.0,?,?,2.5,2.1,1.7,2.7,5.0,4.4
