Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,Item10
User1,3,3,3,2,2,2,2,1,5,2
User2,?,3,1,5,5,1,1,1,3,3
User3,5,5,4,2,1,3,3,2,1,2
User4,2,?,2,1,2,2,4,1,5,3
User5,4,1,5,1,5,3,3,5,2,1
User6,2,2,3,3,4,2,1,5,4,?
User7,5,?,1,5,4,4,3,3,4,3
User8,3,5,3,?,3,2,2,3,1,1
User9,5,3,4,4,1,2,1,1,3,4
User10,4,2,3,1,3,3,1,4,1,5
User11,1,3,4,4,2,2,1,2,5,3
User12,4,1,5,1,1,4,3,5,1,1
User13,5,5,5,5,3,1,2,5,4,?
User14,1,5,1,1,5,1,5,4,1,1
User15,3,2,3,2,1,3,4,4,2,5
User16,2,4,2,5,5,1,?,5,4,2
User17,2,1,2,3,3,3,1,4,?,4
User18,2,2,4,1,3,3,1,3,1,3
User19,2,?,3,2,3,4,5,2,4,2
User20,2,2,4,2,2,3,1,2,3,2
User21,5,?,1,3,2,3,2,5,4,3
User22,5,3,1,3,4,1,3,1,5,5
User23,5,3,5,4,2,3,1,2,5,1
User24,1,2,3,3,1,2,4,4,3,2
User25,4,2,1,2,4,5,1,4,5,4
User26,4,5,?,2,1,3,3,4,2,3
User27,3,4,5,3,1,2,3,3,4,4
User28,3,5,1,2,2,3,4,4,5,3
User29,4,1,1,2,2,5,3,2,5,2
User30,2,3,2,3,5,1,2,1,?,1
