Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,Item10
User1,2,2,4,2,2,1,1,1,5,?
User2,2,2,1,3,4,2,1,1,3,5
User3,5,5,2,4,4,2,2,1,2,5
User4,1,5,2,3,2,1,2,1,?,3
User5,5,3,2,3,2,2,5,4,3,1
User6,?,2,3,2,5,2,2,1,4,5
User7,4,2,1,4,4,5,2,2,3,4
User8,3,2,4,2,?,2,3,3,3,4
User9,4,3,1,1,2,3,2,2,4,5
User10,4,5,?,2,2,1,1,1,1,2
User11,2,1,4,5,5,2,2,2,1,1
User12,4,3,3,3,1,1,4,4,2,2
User13,1,5,4,3,2,2,1,1,4,5
User14,2,1,1,2,4,5,5,3,3,2
User15,5,2,3,3,1,2,3,3,4,5
User16,4,5,5,5,5,2,1,1,1,4
User17,3,3,1,1,2,3,3,4,4,4
User18,2,3,4,2,5,3,?,3,3,4
User19,4,5,5,4,5,2,1,1,2,2
User20,2,1,2,3,5,5,4,?,2,3
User21,2,2,4,4,1,?,2,2,3,4
User22,2,3,3,2,4,2,3,5,4,4
User23,1,3,2,2,3,2,5,5,5,5
User24,2,3,5,3,1,3,5,3,3,4
User25,3,2,1,?,2,4,2,3,4,2
User26,4,5,4,4,4,5,4,4,2,5
User27,4,5,2,2,5,5,3,2,4,2
User28,5,2,5,1,5,5,2,5,4,3
User29,2,2,4,1,5,5,2,3,4,5
User30,2,?,3,4,5,4,2,4,4,3
