Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,Item10,
User1,2.5,1.5,1.5,1,3.2,4.5,3.2,?,5,2.4
User2,?,4.6,1.5,3.7,4.2,0.1,4.1,3.1,1.3,4.3
User3,4.5,5,4.9,2.6,1.8,3.6,3.2,2.8,1.6,?
User4,2.6,4.9,4.2,1.8,?,1.2,0.4,1,5,0.3
User5,?,3.1,4.5,1.1,4.5,4.3,4.3,1.5,2,2.1
User6,4.2,3.2,2.3,3,4.1,2.7,1.9,0.5,4.9,?
User7,3.5,?,1,4.5,3.4,1.4,2.3,3.3,1.4,3.9
User8,3,5,3.7,2.9,3.8,2.7,2.6,?,1,1.9
User9,5,3.9,4.1,4.9,0.1,3.2,1.6,1.5,3,4.1
User10,4.1,1.2,1.3,1.1,2.3,?,1.1,4.8,0.1,5
User11,1.1,0.3,1.4,4.9,2.7,2.2,1.1,?,1.5,3
User12,4.8,1.9,2.5,1.8,1.6,?,3.1,3.5,1,1
User13,5,0.5,2.5,3.5,0.3,1,2.7,1.5,0.4,?
User14,1.1,2.5,1.1,1.1,1.5,1.9,2.5,4,?,1.3
User15,3.3,?,0.3,2.2,1.1,3.3,4.4,1.4,2,5
User16,2.3,0.4,1.2,1.5,2.5,1,?,1.5,4,1.2
User17,2.1,1.1,0.9,0.2,?,3,2.3,2.3,4.1,2.4
User18,2.2,?,1.4,1.1,1.3,3.9,4.1,3.8,4.1,3.9
User19,2.1,?,1.3,2.9,3.9,1.4,2.5,2,4,2.1
User20,2.1,2,4.9,2.4,2.5,3,?,1.2,3,2.1
User21,5,?,1.8,2.3,2.6,3.7,2,5,4.4,3.3
User22,0.5,1.3,1.1,4.3,4.4,?,0.3,4.1,5,5
User23,3.5,3.3,3.5,4,?,3.4,1,2,5,1
User24,1.1,2.8,3.7,3.3,3.1,2.6,?,3.4,3.6,2
User25,4.5,3.2,?,3.2,4.4,4.5,1,4,5,0.4
User26,4.5,5,?,4.2,1,3.7,3.3,3.4,4.2,3.7
User27,3.9,4,3.5,?,1,2.2,3.3,4.3,3.4,4
User28,3.6,5,1,2.2,3.2,?,4.4,4.5,0.5,3
User29,1.4,0.1,2.1,3.2,4.2,5,4.3,?,5,0.2
User30,2.1,3,0.2,3.3,0.5,1.1,1.2,1.1,?,1
